ID,Value,Value,
5000,Value5000,Value5000,
5001,Value5001,Value5001,
5002,Value5002,Value5002,
5003,Value5003,Value5003,
5004,Value5004,Value5004,
5005,Value5005,Value5005,
5006,Value5006,Value5006,
5007,Value5007,Value5007,
5008,Value5008,Value5008,
5009,Value5009,Value5009,
5010,Value5010,Value5010,
5011,Value5011,Value5011,
5012,Value5012,Value5012,
5013,Value5013,Value5013,
5014,Value5014,Value5014,
5015,Value5015,Value5015,
5016,Value5016,Value5016,
5017,Value5017,Value5017,
5018,Value5018,Value5018,
5019,Value5019,Value5019,
5020,Value5020,Value5020,
5021,Value5021,Value5021,
5022,Value5022,Value5022,
5023,Value5023,Value5023,
5024,Value5024,Value5024,
5025,Value5025,Value5025,
5026,Value5026,Value5026,
5027,Value5027,Value5027,
5028,Value5028,Value5028,
5029,Value5029,Value5029,
5030,Value5030,Value5030,
5031,Value5031,Value5031,
5032,Value5032,Value5032,
5033,Value5033,Value5033,
5034,Value5034,Value5034,
5035,Value5035,Value5035,
5036,Value5036,Value5036,
5037,Value5037,Value5037,
5038,Value5038,Value5038,
5039,Value5039,Value5039,
5040,Value5040,Value5040,
5041,Value5041,Value5041,
5042,Value5042,Value5042,
5043,Value5043,Value5043,
5044,Value5044,Value5044,
5045,Value5045,Value5045,
5046,Value5046,Value5046,
5047,Value5047,Value5047,
5048,Value5048,Value5048,
5049,Value5049,Value5049,
5050,Value5050,Value5050,
5051,Value5051,Value5051,
5052,Value5052,Value5052,
5053,Value5053,Value5053,
5054,Value5054,Value5054,
5055,Value5055,Value5055,
5056,Value5056,Value5056,
5057,Value5057,Value5057,
5058,Value5058,Value5058,
5059,Value5059,Value5059,
5060,Value5060,Value5060,
5061,Value5061,Value5061,
5062,Value5062,Value5062,
5063,Value5063,Value5063,
5064,Value5064,Value5064,
5065,Value5065,Value5065,
5066,Value5066,Value5066,
5067,Value5067,Value5067,
5068,Value5068,Value5068,
5069,Value5069,Value5069,
5070,Value5070,Value5070,
5071,Value5071,Value5071,
5072,Value5072,Value5072,
5073,Value5073,Value5073,
5074,Value5074,Value5074,
5075,Value5075,Value5075,
5076,Value5076,Value5076,
5077,Value5077,Value5077,
5078,Value5078,Value5078,
5079,Value5079,Value5079,
5080,Value5080,Value5080,
5081,Value5081,Value5081,
5082,Value5082,Value5082,
5083,Value5083,Value5083,
5084,Value5084,Value5084,
5085,Value5085,Value5085,
5086,Value5086,Value5086,
5087,Value5087,Value5087,
5088,Value5088,Value5088,
5089,Value5089,Value5089,
5090,Value5090,Value5090,
5091,Value5091,Value5091,
5092,Value5092,Value5092,
5093,Value5093,Value5093,
5094,Value5094,Value5094,
5095,Value5095,Value5095,
5096,Value5096,Value5096,
5097,Value5097,Value5097,
5098,Value5098,Value5098,
5099,Value5099,Value5099,
